epoch,loss,accuracy,precision,recall,f1
1,40445.17730034722,0.5714285714285714,0.0,0.0,0.0
2,7054.734375,0.42857142857142855,0.42857142857142855,1.0,0.6
3,9257.729546440973,0.8571428571428571,1.0,0.6666666666666666,0.8
4,810.6332465277778,0.5714285714285714,0.5,1.0,0.6666666666666666
5,5585.67529296875,0.5714285714285714,0.5,1.0,0.6666666666666666
6,2219.9920789930557,0.5714285714285714,0.0,0.0,0.0
7,3262.736558702257,0.5714285714285714,0.5,0.3333333333333333,0.4
8,1190.708224826389,0.7142857142857143,0.6,1.0,0.75
9,2202.5398763020835,0.8571428571428571,0.75,1.0,0.8571428571428571
10,651.3127170138889,0.5714285714285714,0.5,0.3333333333333333,0.4
11,898.5736490885416,0.8571428571428571,0.75,1.0,0.8571428571428571
12,1028.0211588541667,0.8571428571428571,0.75,1.0,0.8571428571428571
13,782.3311631944445,0.8571428571428571,0.75,1.0,0.8571428571428571
14,485.3400607638889,0.8571428571428571,0.75,1.0,0.8571428571428571
15,979.8327094184028,0.8571428571428571,0.75,1.0,0.8571428571428571
16,756.074462890625,0.8571428571428571,0.75,1.0,0.8571428571428571
17,577.0402560763889,0.8571428571428571,0.75,1.0,0.8571428571428571
18,56.837544759114586,0.8571428571428571,0.75,1.0,0.8571428571428571
19,0.1891414059533013,0.8571428571428571,0.75,1.0,0.8571428571428571
20,64.44374593098958,0.8571428571428571,0.75,1.0,0.8571428571428571
21,886.8813205295139,0.8571428571428571,0.75,1.0,0.8571428571428571
22,1154.7301567925347,0.7142857142857143,1.0,0.3333333333333333,0.5
23,1160.1608865525986,0.5714285714285714,0.5,1.0,0.6666666666666666
24,1359.5266927083333,0.5714285714285714,0.5,1.0,0.6666666666666666
25,1158.2435997856987,0.8571428571428571,0.75,1.0,0.8571428571428571
26,563.5577799479166,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666
27,2123.4973958333335,0.8571428571428571,0.75,1.0,0.8571428571428571
28,0.0,0.8571428571428571,0.75,1.0,0.8571428571428571
